"id","DTXSID","CAS","chemName"
48,"DTXSID6026797","108-67-8","1,3,5-Trimethylbenzene"
49,"DTXSID4021925","110-88-3","1,3,5-Trioxane"
50,"DTXSID2021238","108-46-3","Resorcinol"
51,"DTXSID0025571","608-25-3","2-Methyl-1,3-benzenediol"
52,"DTXSID7025924","120-57-0","Piperonal"
53,"DTXSID3020203","106-99-0","1,3-Butadiene"
54,"DTXSID2020761","78-79-5","Isoprene"
55,"DTXSID8026773","107-88-0","1,3-Butanediol"
56,"DTXSID4024985","118-52-5","1,3-Dichloro-5,5-dimethylhydantoin"
57,"DTXSID6022056","541-73-1","1,3-Dichlorobenzene"
58,"DTXSID6022004","142-28-9","1,3-Dichloropropane"
59,"DTXSID1022003","141-93-5","1,3-Diethylbenzene"
60,"DTXSID4027284","646-06-0","1,3-Dioxolane"
61,"DTXSID2026600","96-49-1","1,3-Dioxolan-2-one"
62,"DTXSID9021845","100-79-8","Solketal"
63,"DTXSID3027160","504-60-9","1,3-Pentadiene"
64,"DTXSID8021195","1120-71-4","1,3-Propane sultone"
65,"DTXSID8027036","126-30-7","2,2-Dimethylpropane-1,3-diol"
66,"DTXSID8024652","52-51-7","Bronopol"
67,"DTXSID3029231","2163-42-0","2-Methylpropane-1,3-diol"
68,"DTXSID7020716","123-31-9","Hydroquinone"
69,"DTXSID0022016","280-57-9","1,4-Diazabicyclo[2.2.2]octane"
70,"DTXSID1020431","106-46-7","1,4-Dichlorobenzene"
71,"DTXSID4026711","105-05-5","1,4-Diethylbenzene"
72,"DTXSID4020533","123-91-1","1,4-Dioxane"
73,"DTXSID0026888","111-78-4","1,5-Cyclooctadiene"
74,"DTXSID3022247","7212-44-4","Nerolidol"
75,"DTXSID7025502","78-70-6","Linalool"
76,"DTXSID4020616","470-82-6","1,8-Cineol"
77,"DTXSID1024382","7723-14-0","Phosphorus"
78,"DTXSID6021874","106-94-5","1-Bromopropane"
79,"DTXSID6026824","109-79-5","1-Butanethiol"
80,"DTXSID1021740","71-36-3","1-Butanol"
81,"DTXSID2027254","624-41-9","2-Methylbutyl acetate"
82,"DTXSID4029199","689-97-4","1-Buten-3-yne"
83,"DTXSID1026746","106-98-9","1-Butene"
84,"DTXSID8027589","5131-66-8","1-Butoxy-2-propanol"
85,"DTXSID1020566","106-89-8","Epichlorohydrin"
86,"DTXSID5020318","590-21-6","1-Chloropropene"
87,"DTXSID7021946","112-30-1","1-Decanol"
88,"DTXSID8027329","872-05-9","1-Decene"
89,"DTXSID4029482","68649-11-6","1-Decene, dimer, hydrogenated"
90,"DTXSID1020514","1643-20-5","N,N-Dimethyldodecylamine-N-oxide"
91,"DTXSID1026900","112-00-5","Dodecyltrimethylammonium chloride"
92,"DTXSID5026918","112-53-8","1-Dodecanol"
93,"DTXSID5026914","112-41-4","1-Dodecene"
94,"DTXSID6026901","112-02-7","Hexadecyl trimethyl ammonium chloride"
95,"DTXSID4027991","36653-82-4","1-Hexadecanol"
96,"DTXSID8021931","111-27-3","1-Hexanol"
97,"DTXSID4025402","592-41-6","1-Hexene"
98,"DTXSID8024284","107-98-2","1-Methoxy-2-propanol"
99,"DTXSID1026796","108-65-6","1-Methoxy-2-propyl acetate"
100,"DTXSID6020856","872-50-4","N-Methyl-2-pyrrolidone"
101,"DTXSID3026645","99-87-6","p-Cymene"
102,"DTXSID9020877","90-12-0","1-Methylnaphthalene"
103,"DTXSID6021793","90-15-3","1-Naphthol"
104,"DTXSID9020247","63-25-2","Carbaryl"
105,"DTXSID8026935","112-92-5","1-Octadecanol"
106,"DTXSID7021940","111-87-5","1-Octanol"
107,"DTXSID6025804","111-66-0","1-Octene"
108,"DTXSID6021741","71-41-0","1-Pentanol"
109,"DTXSID7025849","109-67-1","1-Pentene"
110,"DTXSID9027312","770-35-4","1-Phenoxy-2-propanol"
111,"DTXSID6021878","107-10-8","Propylamine"
112,"DTXSID6028072","61789-40-0","1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., inner salts"
113,"DTXSID2021739","71-23-8","1-Propanol"
114,"DTXSID0021759","78-83-1","2-Methyl-1-propanol"
115,"DTXSID5021205","115-07-1","1-Propene"
116,"DTXSID2026949","116-15-4","1,1,2,3,3,3-Hexafluoro-1-propene"
117,"DTXSID9020748","115-11-7","Isobutene"
118,"DTXSID5029217","1569-01-3","1-Propoxy-2-propanol"
119,"DTXSID0026387","74-99-7","1-Propyne"
120,"DTXSID9026926","112-72-1","1-Tetradecanol"
121,"DTXSID4027367","1120-36-1","1-Tetradecene"
122,"DTXSID8021519","112-34-5","2-(2-Butoxyethoxy)ethanol"
123,"DTXSID2021941","111-90-0","2-(2-Ethoxyethoxy)ethanol"
124,"DTXSID2027886","25973-55-1","2-(2-Hydroxy-3,5-di-tert-pentylphenyl)benzotriazole"
125,"DTXSID1027500","2807-30-9","2-Propoxyethanol"
126,"DTXSID1027635","6846-50-0","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate"
127,"DTXSID5027857","25265-77-4","2,2,4-Trimethyl-1,3-pentanediol monoisobutyrate"
128,"DTXSID7024370","540-84-1","2,2,4-Trimethylpentane"
129,"DTXSID7020712","306-83-2","2,2-Dichloro-1,1,1-trifluoroethane"
130,"DTXSID4025111","75-83-2","2,2-Dimethylbutane"
131,"DTXSID6029179","463-82-1","Propane, 2,2-dimethyl-"
132,"DTXSID6021583","431-03-8","2,3-Butanedione"
133,"DTXSID6025012","78-88-6","2,3-Dichloro-1-propene"
134,"DTXSID9025112","79-29-8","2,3-Dimethylbutane"
135,"DTXSID4026765","107-39-1","2,4,4-Trimethyl-1-pentene"
136,"DTXSID5026548","90-72-2","2,4,6-Tris(dimethylaminomethyl)phenol"
137,"DTXSID7027041","126-86-3","2,4,7,9-Tetramethyl-5-decyne-4,7-diol"
138,"DTXSID0020442","94-75-7","2,4-Dichlorophenoxyacetic acid"
139,"DTXSID8022406","131-56-6","2,4-Dihydroxybenzophenone"
140,"DTXSID5021885","107-41-5","2-Methyl-2,4-pentanediol"
141,"DTXSID7022093","625-86-5","2,5-Dimethylfuran"
142,"DTXSID8029317","18479-58-8","1,1,5-Trimethyl-6-heptenol"
143,"DTXSID2020216","128-37-0","Butylated hydroxytoluene"
144,"DTXSID8026727","106-24-1","Geraniol"
145,"DTXSID3026728","106-25-2","(2Z)-3,7-Dimethylocta-2,6-dien-1-ol"
146,"DTXSID6024836","5392-40-5","3,7-Dimethyl-2,6-octadienal"
147,"DTXSID8027117","147-14-8","Copper phthalocyanine"
148,"DTXSID8027032","124-68-5","2-Amino-2-methylpropan-1-ol"
149,"DTXSID6022000","141-43-5","Ethanolamine"
150,"DTXSID4026684","101-86-0","2-(Phenylmethylene)octanal"
151,"DTXSID9021762","78-92-2","2-Butanol"
152,"DTXSID3021516","78-93-3","Methyl ethyl ketone"
153,"DTXSID1021821","96-29-7","2-Butanone oxime"
154,"DTXSID1026748","107-01-7","2-Butene"
155,"DTXSID1024097","111-76-2","2-Butoxyethanol"
156,"DTXSID7029245","2837-89-0","2-Chloro-1,1,1,2-tetrafluoroethane"
157,"DTXSID9023966","78-86-4","2-Chlorobutane"
158,"DTXSID1021877","107-07-3","2-Chloroethanol"
159,"DTXSID8023977","95-49-8","2-Chlorotoluene"
160,"DTXSID5020605","104-76-7","2-Ethyl-1-hexanol"
161,"DTXSID9025293","149-57-5","2-Ethylhexanoic acid"
162,"DTXSID8026694","103-09-3","2-Ethylhexyl acetate"
163,"DTXSID9025297","103-11-7","2-Ethylhexyl acrylate"
164,"DTXSID1027928","27247-96-7","2-Ethylhexyl nitrate"
165,"DTXSID3027958","29806-73-3","2-Ethylhexyl hexadecanoate"
166,"DTXSID1026033","126-92-1","Sodium ethasulfate"
167,"DTXSID4025298","104-75-6","2-Ethylhexylamine"
168,"DTXSID1020647","98-01-1","Furfural"
169,"DTXSID7020348","91-64-5","Coumarin"
170,"DTXSID5021916","110-43-0","2-Heptanone"
171,"DTXSID0022068","591-78-6","2-Hexanone"
172,"DTXSID9027441","1843-05-6","Octabenzone"
173,"DTXSID7026368","69-72-7","Salicylic acid"
174,"DTXSID7022128","868-77-9","2-Hydroxyethyl methacrylate"
175,"DTXSID8027165","513-35-9","2-Methyl-2-butene"
176,"DTXSID5027069","137-32-6","2-Methyl-1-butanol"
177,"DTXSID4020878","91-57-6","2-Methylnaphthalene"
178,"DTXSID4029143","107-83-5","2-Methylpentane"
179,"DTXSID9021978","123-15-9","2-Methylpentanal"
180,"DTXSID7029243","2786-76-7","C.I. Pigment Red 170"
181,"DTXSID0027642","7023-61-2","C.I. Pigment Red 48, calcium salt (1:1)"
182,"DTXSID6020981","79-46-9","2-Nitropropane"
183,"DTXSID4025791","88-72-2","2-Nitrotoluene"
184,"DTXSID4021927","111-13-7","2-Octanone"
185,"DTXSID1025805","26530-20-1","Octhilinone"
186,"DTXSID6024917","123-42-2","Diacetone alcohol"
187,"DTXSID9021976","122-99-6","2-Phenoxyethanol"
188,"DTXSID9026342","60-12-8","2-Phenylethanol"
189,"DTXSID2021151","90-43-7","2-Phenylphenol"
190,"DTXSID7020762","67-63-0","Isopropanol"
191,"DTXSID8020204","75-65-0","tert-Butyl alcohol"
192,"DTXSID8021482","67-64-1","Acetone"
193,"DTXSID5020023","107-02-8","Acrolein"
194,"DTXSID1024835","104-55-2","3-Phenylprop-2-enal"
195,"DTXSID5020029","107-13-1","Acrylonitrile"
196,"DTXSID3025542","79-41-4","Methacrylic acid"
197,"DTXSID2020844","80-62-6","Methyl methacrylate"
198,"DTXSID8027955","29590-42-9","Isooctyl acrylate"
199,"DTXSID0025941","9003-39-8","Polyvinylpyrrolidone"
200,"DTXSID8027246","616-45-5","2-Pyrrolidinone"
201,"DTXSID2021943","112-12-9","2-Undecanone"
202,"DTXSID1027211","558-37-2","3,3-Dimethyl-1-butene"
203,"DTXSID2027412","1559-34-8","3,6,9,12-Tetraoxahexadecan-1-ol"
204,"DTXSID3024497","591-27-5","3-Aminophenol"
205,"DTXSID7029162","126-06-7","3-Bromo-1-chloro-5,5-dimethylhydantoin"
206,"DTXSID7027047","127-51-5","alpha-Isomethylionone"
207,"DTXSID9025451","14901-07-6","4-(2,6,6-Trimethyl-cyclohex-1-enyl)-but-3-en-2-one"
208,"DTXSID1027970","31906-04-4","4-(4-Hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde"
209,"DTXSID2021608","589-38-8","3-Hexanone"
210,"DTXSID0028038","55406-53-6","3-Iodo-2-propynyl-N-butylcarbamate"
211,"DTXSID9021130","89-25-8","1-Phenyl-3-methyl-5-pyrazolone"
212,"DTXSID5021831","99-08-1","3-Nitrotoluene"
213,"DTXSID2020929","98-92-0","Niacinamide"
214,"DTXSID7025180","101-68-8","4,4'-Diphenylmethane diisocyanate"
215,"DTXSID7020182","80-05-7","Bisphenol A"
216,"DTXSID9024489","2835-95-2","5-Amino-2-methylphenol"
217,"DTXSID3024499","123-30-8","4-Aminophenol"
218,"DTXSID4027153","460-00-4","1-Bromo-4-fluorobenzene"
219,"DTXSID7024821","98-56-6","1-Chloro-4-(trifluoromethyl)benzene"
220,"DTXSID5020491","60-11-7","4-(Dimethylamino)azobenzene"
221,"DTXSID4021977","123-07-9","4-Ethylphenol"
222,"DTXSID9029194","622-96-8","4-Ethyltoluene"
223,"DTXSID5021889","108-10-1","4-Methyl-2-pentanone"
224,"DTXSID1027974","32210-23-4","4-tert-Butylcyclohexyl acetate"
225,"DTXSID3021437","100-40-3","4-Vinylcyclohexene"
226,"DTXSID5021754","77-71-4","5,5-Dimethylhydantoin"
227,"DTXSID1025306","16219-75-3","5-Ethylidene-2-norbornene"
228,"DTXSID3026726","106-22-9","Citronellol"
229,"DTXSID6025692","123-35-3","Myrcene"
230,"DTXSID6026294","67-97-0","Vitamin D3"
231,"DTXSID1025809","112-80-1","Oleic acid"
232,"DTXSID2029169","141-24-2","Methyl ricinoleate"
233,"DTXSID7029299","9005-00-9","Polyoxyethylene monooctadecyl ether"
234,"DTXSID8023892","71751-41-2","Abamectin"
235,"DTXSID5021590","143-07-7","Dodecanoic acid"
236,"DTXSID9024148","74-90-8","Hydrogen cyanide"
237,"DTXSID8023846","30560-19-1","Acephate"
238,"DTXSID7020005","60-35-5","Acetamide"
239,"DTXSID1026378","74-85-1","Ethylene"
240,"DTXSID5024394","64-19-7","Acetic acid"
241,"DTXSID1022001","141-78-6","Ethyl acetate"
242,"DTXSID6022977","60-00-4","Ethylenediaminetetraacetic acid"
243,"DTXSID3021982","123-86-4","Butyl acetate"
244,"DTXSID6022006","142-92-7","Hexyl acetate"
245,"DTXSID0024395","108-24-7","Acetic anhydride"
246,"DTXSID2027092","141-97-9","Ethyl acetoacetate"
247,"DTXSID7020009","75-05-8","Acetonitrile"
248,"DTXSID6021828","98-86-2","Acetophenone"
249,"DTXSID4029353","32388-55-9","Acetyl cedrene"
250,"DTXSID2023852","75-36-5","Acetyl chloride"
251,"DTXSID6026379","74-86-2","Ethyne"
252,"DTXSID5020108","50-78-2","Aspirin"
253,"DTXSID1024415","1064-48-8","C.I. Acid Black 1, disodium salt"
254,"DTXSID9021213","2611-82-7","SX purple"
255,"DTXSID2021232","915-67-3","Amaranth"
256,"DTXSID7021235","3520-42-1","C.I. Acid Red 52"
257,"DTXSID1021455","1934-21-0","FD&C Yellow 5"
258,"DTXSID6026296","7732-18-5","Water"
259,"DTXSID5020027","79-06-1","Acrylamide"
260,"DTXSID1022558","58-61-7","Adenosine"
261,"DTXSID7021605","124-04-9","Hexanedioic acid"
262,"DTXSID3021936","111-69-3","Hexanedinitrile"
263,"DTXSID9020584","64-17-5","Ethanol"
264,"DTXSID4024305","7440-22-4","Silver"
265,"DTXSID9027651","7440-44-0","Carbon"
266,"DTXSID2023224","79794-75-5","Loratadine"
267,"DTXSID4028331","67762-41-8","C10-16 Alcohols"
268,"DTXSID3028687","68526-86-3","Alcohols, C11-14-iso-, C13-rich"
269,"DTXSID9028831","68891-38-3","Poly(oxy-1,2-ethanediyl),alpha-sulfo-omega-hydroxy-, C12-14-alkyl ethers, sodium salts"
270,"DTXSID4029563","84133-50-6","Alcohols, C12-14-secondary, ethoxylated"
271,"DTXSID0028321","67762-25-8","Alcohols, C12-18"
272,"DTXSID0028323","67762-27-0","Alcohols, C16-18"
273,"DTXSID3028685","68526-84-1","Alcohols, C8-10-iso-, C9-rich"
274,"DTXSID8028686","68526-85-2","Alcohols, C9-11-iso-, C10-rich"
275,"DTXSID6020301","75-45-6","Chlorodifluoromethane"
276,"DTXSID3028714","68551-19-9","Alkanes, C12-14-iso-"
277,"DTXSID4029066","90622-46-1","Alkanes, C14-16"
278,"DTXSID4024436","25956-17-6","Allura Red C.I.16035"
279,"DTXSID3024869","80-15-9","Cumene hydroperoxide"
280,"DTXSID2021288","57-50-1","Sucrose"
281,"DTXSID4026501","80-56-8","alpha-Pinene"
282,"DTXSID5026625","98-55-5","alpha-Terpineol"
283,"DTXSID8021355","10191-41-0","alpha-Tocopherol"
284,"DTXSID0026339","59-02-9","alpha-Vitamin E"
285,"DTXSID6029674","7446-70-0","Aluminum chloride"
286,"DTXSID4029640","1318-02-1","Zeolites"
287,"DTXSID1027136","300-92-5","Aluminum, hydroxybis(octadecanoato-.kappa.O)-"
288,"DTXSID6023868","67485-29-4","Hydramethylnon"
289,"DTXSID8028391","68140-00-1","Amides, coco, N-(hydroxyethyl)"
290,"DTXSID3028392","68140-01-2","N-[3-(Dimethylamino)propyl] coco amides"
291,"DTXSID2029539","70851-07-9","Amides, coco, N-[3-(dimethylamino)propyl], alkylation products with chloroacetic acid, sodium salts"
292,"DTXSID6029416","68155-09-9","Amides, coco, N-[3-(dimethylamino)propyl], N-oxides"
293,"DTXSID1020938","10102-43-9","Nitric oxide"
294,"DTXSID1028992","70592-80-2","C10-16-Alkyldimethylamines oxides"
295,"DTXSID7025423","111-41-1","N-(Hydroxyethyl)ethylenediamine"
296,"DTXSID0023872","7664-41-7","Ammonia"
297,"DTXSID9029645","1341-49-7","Ammonium hydrogen difluoride"
298,"DTXSID0020078","12125-02-9","Ammonium chloride"
299,"DTXSID2027462","2235-54-3","Ammonium dodecyl sulfate"
300,"DTXSID2027599","5421-46-5","Ammonium thioglycolate"
301,"DTXSID2029668","6484-52-2","Ammonium nitrate"
302,"DTXSID1027899","26447-10-9","Ammonium xylene sulfonate"
303,"DTXSID1029677","7631-86-9","Silica"
304,"DTXSID1027263","628-63-7","Pentyl acetate"
305,"DTXSID6022054","538-68-1","Pentylbenzene"
306,"DTXSID9029227","2050-08-0","Pentyl 2-hydroxybenzoate"
307,"DTXSID8029157","122-40-7","2-(Phenylmethylene)-heptanal"
308,"DTXSID9020087","4180-23-8","(E)-Anethole"
309,"DTXSID0029634","1310-73-2","Sodium hydroxide"
310,"DTXSID8020090","62-53-3","Aniline"
311,"DTXSID2026997","123-11-5","4-Methoxybenzaldehyde"
312,"DTXSID3024528","8007-70-3","Anise oil"
313,"DTXSID7024534","1393-63-1","Annatto"
314,"DTXSID6020359","108-94-1","Cyclohexanone"
315,"DTXSID5023879","7440-36-0","Antimony"
316,"DTXSID4023880","1309-64-4","Antimony trioxide"
317,"DTXSID8027456","2082-79-3","Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate"
318,"DTXSID2020006","103-90-2","Acetaminophen"
319,"DTXSID6022391","520-36-5","Apigenin"
320,"DTXSID8022618","7200-25-1","Arginine"
321,"DTXSID4023886","7440-38-2","Arsenic"
322,"DTXSID3023760","7784-42-1","Arsine"
323,"DTXSID5020106","50-81-7","L-Ascorbic acid"
324,"DTXSID1027710","8052-42-4","Asphalt"
325,"DTXSID4028250","64742-93-4","Asphalt, oxidized"
326,"DTXSID9020112","1912-24-9","Atrazine"
327,"DTXSID0024553","123-77-3","Azodicarbonamide"
328,"DTXSID8023894","7440-39-3","Barium"
329,"DTXSID9021269","144-55-8","Sodium bicarbonate"
330,"DTXSID0027359","1103-38-4","1-Naphthalenesulfonic acid, 2-[(2-hydroxy-1-naphthalenyl)azo]-, barium salt (2:1)"
331,"DTXSID1025512","569-64-2","Malachite green"
332,"DTXSID1021243","989-38-8","Rhodamine 6G"
333,"DTXSID4023913","7440-41-7","Beryllium"
334,"DTXSID4020537","147-24-0","Diphenhydramine hydrochloride"
335,"DTXSID5021968","121-32-4","3-Ethoxy-4-hydroxybenzaldehyde"
336,"DTXSID2021995","134-62-3","DEET"
337,"DTXSID1021827","98-82-8","Cumene"
338,"DTXSID3028340","67774-74-7","Benzene, C10-13-alkyl derivs."
339,"DTXSID2021446","1330-20-7","Xylenes"
340,"DTXSID4021923","110-82-7","Cyclohexane"
341,"DTXSID7021360","108-88-3","Toluene"
342,"DTXSID5020152","100-51-6","Benzyl alcohol"
343,"DTXSID2028723","68584-22-5","(C10-C16) Alkylbenzenesulfonic acid"
344,"DTXSID6029339","27177-77-1","Potassium dodecylbenzenesulfonate"
345,"DTXSID6023810","121-54-0","Benzethonium chloride"
346,"DTXSID6020143","65-85-0","Benzoic acid"
347,"DTXSID8021804","94-09-7","Benzocaine"
348,"DTXSID4022529","99-76-3","Methylparaben"
349,"DTXSID8029153","120-51-4","Benzyl benzoate"
350,"DTXSID1020140","532-32-1","Sodium benzoate"
351,"DTXSID0021961","119-61-9","Benzophenone"
352,"DTXSID3022405","131-57-7","2-Hydroxy-4-methoxybenzophenone"
353,"DTXSID6020147","95-14-7","1,2,3-Benzotriazole"
354,"DTXSID6024591","94-36-0","Benzoyl peroxide"
355,"DTXSID1024598","118-58-1","Benzyl salicylate"
356,"DTXSID7026946","115-95-7","Linalyl acetate"
357,"DTXSID1020273","7782-50-5","Chlorine"
358,"DTXSID8022666","107-43-7","Betaine"
359,"DTXSID8024739","87-44-5","beta-Caryophyllene"
360,"DTXSID7027049","127-91-3","beta-Pinene"
361,"DTXSID7020215","25013-16-5","Butylated hydroxyanisole"
362,"DTXSID2020181","7787-59-9","Bismuth oxychloride"
363,"DTXSID6026377","74-84-0","Ethane"
364,"DTXSID7022679","58-85-5","Biotin"
365,"DTXSID0020606","103-23-1","Bis(2-ethylhexyl)hexanedioate"
366,"DTXSID1022681","603-50-9","Bisacodyl"
367,"DTXSID1025279","7085-85-0","Ethyl cyanoacrylate"
368,"DTXSID2020189","3844-45-9","FD&C Blue No. 1"
369,"DTXSID1020190","860-22-0","C.I. Acid Blue 74"
370,"DTXSID3023922","7440-42-8","Boron"
371,"DTXSID2020711","7647-01-0","Hydrochloric acid"
372,"DTXSID5024637","108-86-1","Bromobenzene"
373,"DTXSID0027147","353-59-3","Methane, bromochlorodifluoro-"
374,"DTXSID4021503","74-97-5","Bromochloromethane"
375,"DTXSID8021432","593-60-2","Vinyl bromide"
376,"DTXSID1021374","75-25-2","Bromoform"
377,"DTXSID8020832","74-83-9","Methyl bromide"
378,"DTXSID5026415","75-63-8","Bromotrifluoromethane"
379,"DTXSID4029141","107-00-6","1-Butyne"
380,"DTXSID8021513","123-72-8","Butyraldehyde"
381,"DTXSID3022906","81-13-0","Dexpanthenol"
382,"DTXSID7024665","106-97-8","Butane"
383,"DTXSID2024666","110-63-4","1,4-Butanediol"
384,"DTXSID9026059","110-61-2","Succinonitrile"
385,"DTXSID8022959","577-11-7","Docusate sodium"
386,"DTXSID1026823","109-74-0","Butanenitrile"
387,"DTXSID1021166","51-03-6","Piperonyl butoxide"
388,"DTXSID7021520","143-22-6","2-[2-(2-Butoxyethoxy)ethoxy]ethanol"
389,"DTXSID6024676","141-32-2","Butyl acrylate"
390,"DTXSID9024691","2426-08-6","Butyl glycidyl ether"
391,"DTXSID5027013","123-95-5","Octadecanoic acid, butyl ester"
392,"DTXSID1021904","109-73-9","Butylamine"
393,"DTXSID6022472","104-51-8","Butylbenzene"
394,"DTXSID0027850","25167-67-3","Butene"
395,"DTXSID0025234","17372-87-1","Eosin"
396,"DTXSID2021234","4548-53-2","FD&C Red 4"
397,"DTXSID6021456","2783-94-0","FD&C Yellow 6"
398,"DTXSID0029632","1309-37-1","Iron(III) oxide"
399,"DTXSID3025918","1326-03-0","C.I. Pigment Violet 1"
400,"DTXSID3021352","13463-67-7","Titanium dioxide"
401,"DTXSID2025921","12225-21-7","C.I. Pigment Yellow 100"
402,"DTXSID0029268","5102-83-0","C.I. Pigment Yellow 13"
403,"DTXSID9027601","5468-75-7","Butanamide, 2,2'-[(3,3'-dichloro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2-methylphenyl)-3-oxo-"
404,"DTXSID7025920","6358-31-2","C.I. Pigment Yellow 74"
405,"DTXSID1021453","5567-15-7","C.I. Pigment Yellow 83"
406,"DTXSID5026041","8005-02-5","C.I. Solvent Black 7"
407,"DTXSID4021135","842-07-9","C.I. Solvent Yellow 14"
408,"DTXSID8025911","1328-53-6","C.I. Phthalocyanine green"
409,"DTXSID2021602","57-10-3","Hexadecanoic acid"
410,"DTXSID4020901","79-11-8","Chloroacetic acid"
411,"DTXSID5020235","10043-52-4","Calcium chloride"
412,"DTXSID1023940","7440-43-9","Cadmium"
413,"DTXSID0024715","1306-19-0","Cadmium oxide"
414,"DTXSID0020232","58-08-2","Caffeine"
415,"DTXSID4026399","75-20-7","Calcium carbide (CaC2)"
416,"DTXSID7029297","8061-52-7","Lignosulfonic acid, calcium salt"
417,"DTXSID5029631","1305-78-8","Calcium oxide"
418,"DTXSID0028084","61789-86-4","Sulfonic acids, petroleum, calcium salts"
419,"DTXSID4029648","1344-95-2","Calcium silicate"
420,"DTXSID7027419","1592-23-0","Octadecanoic acid, calcium salt"
421,"DTXSID8026488","79-92-5","Camphene"
422,"DTXSID9021554","334-48-5","Decanoic acid"
423,"DTXSID8028268","65381-09-1","Glycerol octanoate decanoate"
424,"DTXSID4021426","57-13-6","Urea"
425,"DTXSID4024729","10605-21-7","Carbendazim"
426,"DTXSID2021731","67-56-1","Methanol"
427,"DTXSID5021124","108-95-2","Phenol"
428,"DTXSID6023947","75-15-0","Carbon disulfide"
429,"DTXSID4027028","124-38-9","Carbon dioxide"
430,"DTXSID6029597","75-10-5","Methane, difluoro-"
431,"DTXSID5027273","630-08-0","Carbon monoxide"
432,"DTXSID6023949","463-58-1","Carbonyl sulfide"
433,"DTXSID8020250","56-23-5","Carbon tetrachloride"
434,"DTXSID0026410","75-46-7","Trifluoromethane"
435,"DTXSID3025041","105-58-8","Diethyl carbonate"
436,"DTXSID1029621","497-19-8","Sodium carbonate"
437,"DTXSID3029651","1633-05-2","Carbonic acid, strontium salt (1:1)"
438,"DTXSID0024260","75-44-5","Phosgene"
